Gender,Height,Shoe Size,Weight
Male,167,27,63
Female,165.1,23.5,54
Male,180,28.3,92.5
Male,170,25,78
Female,157,24.1,52
Female,160.02,23.5,84
Male,181,27.1,86
Female,168,24,64
Male,172,26,92
Male,183,25.4,74
Male,167,26.3,78
Female,170,22.5,60
Female,165.1,24,53
Female,157.48,23.5,50
Male,180,24,60
Male,185.42,29.4,60
Male,177,30,65
Female,171,25.4,85
Male,186,26,87
Male,188,27.6,65
Female,165.1,24.4,59.8
Female,162.56,24.4,54
Male,186,26.7,85
Male,182.88,26.8,86
Female,167,24.4,65
Female,167.64,25.4,74
Female,165.1,24,53
Male,177.8,23.5,71
Female,154.94,26.7,45
Female,158,23.5,50
Female,167.64,25.4,75
Female,165.1,25.7,93
Male,182.88,26.7,127
Male,182.88,25,81
Male,182,27.9,80
Male,170.18,26,61
Female,157.48,24,60
Male,172.72,25.4,74
Male,184,27,82
Male,175,25.9,73
Male,175,26,105
Male,177.8,25.7,71
Female,160.02,23,54
Male,175,24,75
Male,180,25.7,60
Female,168,25.1,57
Male,178,243.84,75
Female,162.56,24.4,54
Female,175.26,25,64
Female,154.94,21.6,48
Female,155.488,23.5,50
Male,175,25,70
Female,190.5,23.5,62
Female,167.64,25.4,65
Female,157,23.5,44
Female,162.56,23.5,64
Male,195,28,72
Female,157.48,24.8,55
Female,167.64,24,64
Female,154.94,23.5,56
Male,183,27,78
Female,161.544,21.6,54
Female,165.1,24.4,59.8
Male,181,25,113
Male,190,26.7,70
Female,198.12,24.4,56
Female,160.02,23.5,49
Male,180,26.7,83
Male,178,26,69
Male,175,25.4,54
Male,175,25,69
Male,172,24,73
